Pos,Race No,Wave,Flag,Name,Time,Net Time,Category,Cat Pos,Gender,Gen Pos,Club,Country
9218,33996,M - Group 2,ZA,Menzi NGEMA,10:38:42,10:37:05,40-49,3642,Male,7949,THUNGELA AC,South Africa
9219,49527,M - Group 2,ZA,Vicky VAN STADEN,10:38:42,10:37:33,50-59,145,Female,1270,OVERKRUIN AC,South Africa
9220,35666,H - Group 1,ZA,Mamapote Lloty MOHUBE,10:38:44,10:35:21,40-49,3643,Male,7950,CITY OF EKURHULENI AC,South Africa
9221,20896,M - Group 2,ZA,Malusi MADLALA,10:38:44,10:36:47,40-49,3644,Male,7951,TEAM VITALITY CLUB KZN,South Africa
9222,44826,H - Group 1,ZA,Emma DA SILVA,10:38:45,10:34:45,40-49,560,Female,1271,BENONI NORTHERNS AC,South Africa
9223,15419,G - Group 1,ZA,Nkosingimele RADEBE,10:38:45,10:34:18,Senior,2654,Male,7952,E-GOV ATHLETICS CLUB,South Africa
9224,55862,D - Group 1,ZA,Aiko BHENGU,10:38:46,10:37:31,50-59,1437,Male,7953,NTUNJAMBILI AC,South Africa
9225,29768,H - Group 1,ZA,Jacques ROSSOUW,10:38:46,10:34:47,40-49,3645,Male,7954,BENONI NORTHERNS AC,South Africa
9226,28822,C - Group 1,ZA,Solomon KHUMALO,10:38:46,10:38:00,50-59,1438,Male,7955,CARLTON AC,South Africa
9227,30249,E - Group 1,GB,Byron MORETON,10:38:47,10:35:18,Senior,2655,Male,7956,GLASGOW FRONT RUNNERS,United Kingdom
9228,16035,J - Group 1,ZA,Carien VAN DER WALT,10:38:47,10:34:37,50-59,146,Female,1272,LANGEBAAN STRANDLOPERS,South Africa
9229,19541,M - Group 2,ZA,Craig PRICE,10:38:49,10:37:39,40-49,3646,Male,7957,TOTALSPORTS VOB RUNNING CLUB,South Africa
9230,38310,F - Group 1,ZA,Ethan MARIAS,10:38:49,10:35:36,Senior,2656,Male,7958,TEAM VITALITY CLUB KZN,South Africa
9231,50191,D - Group 1,ZW,Saymore Lawrence SAKONDA,10:38:50,10:37:06,Senior,2657,Male,7959,RUNNING IS OUR THERAPY (R.I.O.T) ZIMBABWE,Zimbabwe
9232,48897,K - Group 2,ZA,Simo MAJOLA,10:38:50,10:38:47,Senior,2658,Male,7960,ESKOM AC MPU,South Africa
9233,59423,H - Group 1,ZA,Joel MOTAUNG,10:38:50,10:35:11,40-49,3647,Male,7961,LESEDI AC,South Africa
9234,37926,L - Group 2,ZA,Jeffrey Hlabishi MBUYANE,10:38:51,10:38:42,40-49,3648,Male,7962,SAMANCOR CHROME MARATHON CLUB,South Africa
9235,47403,H - Group 1,ZA,Neill ANDREWS,10:38:52,10:34:53,Senior,2659,Male,7963,IRENE ATHLETICS CLUB,South Africa
9236,45845,G - Group 1,ZA,Thabo MACHETHE,10:38:53,10:34:35,Senior,2660,Male,7964,GAUTENG SOCIAL DEVELOPMENT AC,South Africa
9237,43411,N - Group 2,ZA,Sven ROSSLER,10:38:53,10:36:29,Senior,2661,Male,7965,TEAM VITALITY CLUB KZN,South Africa
9238,45224,J - Group 1,ZA,Charles GOLDSWAIN,10:38:55,10:34:39,40-49,3649,Male,7966,VOORTREKKER MONUMENT AC,South Africa
9239,46973,J - Group 1,ZA,Jabu Basil MLANGENI,10:38:57,10:33:30,50-59,1439,Male,7967,ALBERTON AMATEUR ATHLETIC CLUB,South Africa
9240,19796,E - Group 1,ZA,Wellington MANGENA,10:38:57,10:37:17,50-59,1440,Male,7968,ADVENTIST AC BOR,South Africa
9241,32681,M - Group 2,ZA,Christopher MASEKO,10:38:58,10:36:53,50-59,1441,Male,7969,PRETORIA MILITARY MARATHON CLUB,South Africa
9242,48562,G - Group 1,ZA,Carien DE BRUYN,10:39:01,10:35:30,Senior,547,Female,1273,LEGOGOTE VILLAGERS,South Africa
9243,51397,G - Group 1,ZA,Michael HIRSCH,10:39:02,10:36:21,Senior,2662,Male,7970,TOTALSPORTS VOB RUNNING CLUB,South Africa
9244,43946,G - Group 1,ZA,Gareth BARFORD,10:39:02,10:36:20,Senior,2663,Male,7971,TOTALSPORTS VOB RUNNING CLUB,South Africa
9245,49500,G - Group 1,ZA,Stuart COPLEY,10:39:02,10:36:22,Senior,2664,Male,7972,TOTALSPORTS VOB RUNNING CLUB,South Africa
9246,53299,J - Group 1,ZA,David MHLONGO,10:39:02,10:34:44,40-49,3650,Male,7973,MAMEPE STRIDERS,South Africa
9247,31582,L - Group 2,ZA,Dinesh GARBHARRAN,10:39:03,10:38:39,50-59,1442,Male,7974,MORNINGSIDE COUNTRY CLUB ROAD RUNNERS,South Africa
9248,49589,D - Group 1,ZA,Mbuyiseni Simon MAYISELA,10:39:03,10:37:45,50-59,1443,Male,7975,TEAM VITALITY CLUB CG,South Africa
9249,31923,J - Group 1,ZA,Sinethemba SOLANI,10:39:06,10:36:48,40-49,3651,Male,7976,TEAM VITALITY CLUB CG,South Africa
9250,22980,F - Group 1,ZA,Robert JORDAAN,10:39:06,10:35:32,50-59,1444,Male,7977,X-CEL AC EP,South Africa
9251,32102,G - Group 1,IN,Mahesh MAHAJAN,10:39:07,10:35:46,50-59,1445,Male,7978,SHIV SPIRIT,India
9252,21787,F - Group 1,ZA,Niel GROENEWALD,10:39:07,10:36:12,Senior,2665,Male,7979,TEAM VITALITY ATLETIC CLUB GN,South Africa
9253,10119,M - Group 2,ZW,Rugare MUBAYI,10:39:08,10:38:25,40-49,3652,Male,7980,,Zimbabwe
9254,6058,H - Group 1,ZA,Lerenzo FRANCIS,10:39:09,10:35:56,Senior,2666,Male,7981,DESPATCH ATHLETIC CLUB,South Africa
9255,9329,F - Group 1,ZA,Sibonokuhle LANGA,10:39:09,10:37:08,40-49,3653,Male,7982,INKAMANA AC,South Africa
9256,48199,H - Group 1,ZA,Petros NDLANGAMANDLA,10:39:09,10:34:42,50-59,1446,Male,7983,CONQUERORS AC,South Africa
9257,30653,E - Group 1,ZA,Aubrey SEEMELA,10:39:09,10:36:31,40-49,3654,Male,7984,TEAM VITALITY ATLETIC CLUB GN,South Africa
9258,52441,N - Group 2,ZA,Calvin MERIRI,10:39:09,10:36:42,40-49,3655,Male,7985,RUN ALEX ATHLETICS CLUBS CGA,South Africa
9259,13169,F - Group 1,ZA,Steven GOODRICH,10:39:10,10:35:12,50-59,1447,Male,7986,CAPE MULTI SPORT CLUB,South Africa
9260,40162,C - Group 1,ZA,Faizel KITCHING,10:39:11,10:38:45,Senior,2667,Male,7987,BUFFALO RUNNERS KING WILLIAMS TOWN,South Africa
9261,10115,J - Group 1,ZA,Ruan VILJOEN,10:39:11,10:34:29,Senior,2668,Male,7988,DOLPHIN COAST STRIDERS,South Africa
9262,41065,J - Group 1,ZA,Talita VILJOEN,10:39:11,10:34:29,Senior,548,Female,1274,DOLPHIN COAST STRIDERS,South Africa
9263,31111,H - Group 1,ZA,Alun DARWOOD,10:39:11,10:34:49,50-59,1448,Male,7989,CAPE MULTI SPORT CLUB,South Africa
9264,54943,G - Group 1,ZA,William CHICKS,10:39:13,10:33:46,40-49,3656,Male,7990,TEAM VITALITY CLUB CG,South Africa
9265,48026,L - Group 2,ZA,Nkele APHANE,10:39:13,10:39:00,40-49,561,Female,1275,TEAM VITALITY CLUB CG,South Africa
9266,5909,E - Group 1,IN,Rakesh KUMAR,10:39:14,10:36:49,40-49,3657,Male,7991,"HAPPY FEET CHAMPIONS, INDIA",India
9267,38636,G - Group 1,ZA,Dumisani MPANZA,10:39:15,10:36:26,50-59,1449,Male,7992,UMHLATHUZE AC,South Africa
9268,27439,M - Group 2,ZA,Carla SMITH,10:39:18,10:38:59,40-49,562,Female,1276,MAGNOLIA ROAD RUNNERS,South Africa
9269,25426,H - Group 1,ZA,Fikile NGHONDZWENI,10:39:19,10:35:36,40-49,3658,Male,7993,TEAM VITALITY CLUB CG,South Africa
9270,41113,H - Group 1,ZA,Oliver GREAVES,10:39:20,10:37:12,Senior,2669,Male,7994,VARSITY KUDUS,South Africa
9271,7575,M - Group 2,ZA,Thuso MONGWAKETSE,10:39:20,10:37:24,40-49,3659,Male,7995,NEDBANK RUNNING CLUB GN,South Africa
9272,13280,N - Group 2,ZA,Hayley JACKSON,10:39:20,10:36:25,50-59,147,Female,1277,HILTON HARRIERS,South Africa
9273,55111,N - Group 2,ZA,David JACKSON,10:39:21,10:36:25,50-59,1450,Male,7996,HILTON HARRIERS,South Africa
9274,32075,E - Group 1,DE,Holger HEDELT,10:39:21,10:37:00,50-59,1451,Male,7997,IRENE ATHLETICS CLUB,Germany
9275,34119,N - Group 2,ZA,Ambulence MAGOMANI,10:39:22,10:36:06,50-59,1452,Male,7998,SAPS LIMPOPO MARATHON CLUB,South Africa
9276,27603,G - Group 1,ZA,Philemon ZUMA,10:39:23,10:36:33,40-49,3660,Male,7999,CORRECTIONAL SERVICES KZN,South Africa
9277,40990,H - Group 1,GB,Mano NDLOVU,10:39:24,10:35:32,50-59,1453,Male,8000,IZ'QWABALANDA HEALTH AND FITNESS CLUB  UK ????,United Kingdom
9278,41217,P - Group 2,ZA,Daniel NKADIMENG,10:39:25,10:35:09,50-59,1454,Male,8001,POLOKWANE AC,South Africa
9279,54151,N - Group 2,ZA,Debbie-Le STORKEY,10:39:26,10:37:51,60-69,20,Female,1278,STELLA AC,South Africa
9280,18269,N - Group 2,ZA,Charmaine NILSEN,10:39:26,10:37:51,60-69,21,Female,1279,FOURWAYS ROAD RUNNERS (LONEHILL),South Africa
9281,46670,E - Group 1,ZA,Stefano SEGATTO,10:39:28,10:38:01,Senior,2670,Male,8002,JEPPE QUONDAM AC,South Africa
9282,25532,F - Group 1,ZA,Karlé BELL,10:39:28,10:36:25,40-49,563,Female,1280,BERT`S BRICKS AC,South Africa
9283,29642,H - Group 1,ZA,Khulekani KHUMALO,10:39:28,10:35:56,60-69,212,Male,8003,NRB HARRIERS,South Africa
9284,52063,M - Group 2,ZA,Phillip MAAKE,10:39:28,10:36:38,Senior,2671,Male,8004,EMALAHLENI CITY MARATHON CLUB,South Africa
9285,18666,E - Group 1,ZA,Werner BROODRYK,10:39:28,10:37:46,Senior,2672,Male,8005,NEDBANK RUNNING CLUB CENTRAL NORTH WEST,South Africa
9286,20716,G - Group 1,IN,Kailash JAIN,10:39:30,10:36:03,50-59,1455,Male,8006,MEWARI RUNNERS,India
9287,47088,M - Group 2,ZA,Monde JUTA,10:39:30,10:37:16,40-49,3661,Male,8007,EYETHU AC GN,South Africa
9288,39987,M - Group 2,ZA,David DLADLA,10:39:30,10:33:51,50-59,1456,Male,8008,SAVE ORION AC,South Africa
9289,10193,M - Group 2,ZA,Cedric CAMPHER,10:39:30,10:39:04,Senior,2673,Male,8009,MIDDELBURG MARATHON CLUB,South Africa
9290,25744,J - Group 1,ZA,Masedi Makakatlele SEBESHO,10:39:31,10:34:38,50-59,1457,Male,8010,JUSTICE AC,South Africa
9291,40920,M - Group 2,ZA,Lucky MOLOI,10:39:32,10:37:27,50-59,1458,Male,8011,KRUGERSDORP ROAD RUNNERS,South Africa
9292,19919,M - Group 2,ZA,Richard GOODCHILD,10:39:37,10:39:27,40-49,3662,Male,8012,IRENE ATHLETICS CLUB,South Africa
9293,50340,F - Group 1,ZA,Sihle SHANGASE,10:39:37,10:35:57,40-49,3663,Male,8013,KWAMASHU AC,South Africa
9294,18203,H - Group 1,ZA,Bongani MABIZELA,10:39:38,10:34:48,50-59,1459,Male,8014,ABI AC,South Africa
9295,34132,G - Group 1,ZA,Sepadi Alfred MOTAU,10:39:38,10:37:10,50-59,1460,Male,8015,MAKHUDUTHAMAGA AC,South Africa
9296,53559,Q - Group 2,ZA,Dalingebo PHAMA,10:39:38,10:36:37,Senior,2674,Male,8016,AFRICAN BANK RUNNERS,South Africa
9297,33434,R - Group 2,ZA,Khathutshelo SITHARI,10:39:39,10:37:32,40-49,3664,Male,8017,NEDBANK RUNNING CLUB,South Africa
9298,7367,H - Group 1,ZA,Ntombozuko SIKITI,10:39:39,10:34:49,40-49,564,Female,1281,CHILLIE RUNNING CLUB (BORDER),South Africa
9299,30385,F - Group 1,ZA,Gcobani GANTSHO,10:39:40,10:36:54,40-49,3665,Male,8018,TEAM VITALITY AC EP,South Africa
9300,51984,N - Group 2,ZA,Mmaserutle MOKHINE,10:39:40,10:37:48,40-49,565,Female,1282,TEAM VITALITY CLUB CG,South Africa
9301,35003,P - Group 2,ZA,Solly NZIMA,10:39:41,10:36:17,40-49,3666,Male,8019,MICHAEL HOUSE HIGH SCHOOL,South Africa
9302,33790,L - Group 2,ZA,Leezil SALLIE,10:39:42,10:38:46,Senior,549,Female,1283,PAN AFRICAN RESOURCES CLUB,South Africa
9303,20009,J - Group 1,ZA,Phathutshedzo Ishmael MUTHIVHA,10:39:42,10:35:28,40-49,3667,Male,8020,SAPS HEAD OFFICE AC,South Africa
9304,36090,M - Group 2,ZA,Lephai MAAKE,10:39:43,10:38:58,40-49,3668,Male,8021,DWARSRIVIER MINE AC,South Africa
9305,19744,N - Group 2,ZA,Jaco DU VENAGE,10:39:43,10:38:07,40-49,3669,Male,8022,NEDBANK RUNNING CLUB MPU,South Africa
9306,59394,J - Group 1,ZA,Dumisane NDLELA,10:39:44,10:35:16,40-49,3670,Male,8023,HOLLYWOOD AC KZNA,South Africa
9307,44786,G - Group 1,ZA,Dumisani CHIBANDA,10:39:45,10:34:54,Senior,2675,Male,8024,SASOL MARATHON CLUB,South Africa
9308,59712,G - Group 1,ZA,Bandile MAPEKULA,10:39:46,10:35:58,50-59,1461,Male,8025,TEAM VITALITY CLUB KZN,South Africa
9309,50693,J - Group 1,ZA,Nkateko MSIMEKI,10:39:48,10:34:36,40-49,566,Female,1284,TOP RUNNERS AC,South Africa
9310,16571,M - Group 2,ZA,Eben VAN WYK,10:39:49,10:39:20,40-49,3671,Male,8026,IRENE ATHLETICS CLUB,South Africa
9311,18924,L - Group 2,ZA,Mzamo MKHWANAZI,10:39:50,10:38:57,40-49,3672,Male,8027,HOLLYWOOD AC KZNA,South Africa
9312,39217,G - Group 1,ZA,Phil BRADLEY,10:39:50,10:36:33,40-49,3673,Male,8028,SOUTH AFRICAN POLICE SERVICE EP,South Africa
9313,31317,A - Group 1,NO,Wenche DÖRUM,10:39:52,10:39:44,70+,2,Female,1285,ROYAL SPORT,Norway
9314,26370,M - Group 2,ZW,Oswell NCUBE,10:39:53,10:39:24,50-59,1462,Male,8029,,Zimbabwe
9315,56872,F - Group 1,ZA,Nocawe MORAKE,10:39:53,10:36:59,50-59,148,Female,1286,DEPARTMENT OF RURAL DEVELOPMENT AND LAND REFORM AC GN,South Africa
9316,57896,N - Group 2,ZA,Jerry.M NXUMALO,10:39:54,10:36:59,50-59,1463,Male,8030,TRANSFORMERS ATHLETIC CLUB,South Africa
9317,31286,N - Group 2,ZA,Lesiba MOLEPO,10:39:54,10:37:23,40-49,3674,Male,8031,WATERFALL AC,South Africa
9318,47905,G - Group 1,ZA,Tania VAN DER MEULEN,10:39:54,10:37:08,40-49,567,Female,1287,RUN ZONE AC,South Africa
9319,18840,E - Group 1,ZA,Lynette CRONK,10:39:54,10:37:08,Senior,550,Female,1288,RUN ZONE AC,South Africa
9320,52862,D - Group 1,AO,Jacinto BASTOS,10:39:55,10:35:54,50-59,1464,Male,8032,MAMA MUXIMA,Angola
9321,16165,G - Group 1,AO,Gizela FRANCO,10:39:55,10:35:54,Senior,551,Female,1289,ANGOLA RUNNERS,Angola
9322,33303,D - Group 1,AO,Helder ANTONIO,10:39:55,10:37:44,40-49,3675,Male,8033,OKULUPUKA,Angola
9323,45484,E - Group 1,GB,Neil JONES,10:39:55,10:37:37,50-59,1465,Male,8034,MK MARSHALL AC,United Kingdom
9324,27227,H - Group 1,ZA,Johannes Roy Sipho MAIMANE,10:39:55,10:35:58,40-49,3676,Male,8035,MAMELODI STRIDERS AC,South Africa
9325,7108,M - Group 2,ZA,Mosima PHASHA,10:39:56,10:38:16,40-49,568,Female,1290,TEAM VITALITY ATLETIC CLUB GN,South Africa
9326,43337,H - Group 1,ZA,Lauren-Kate BYDAWELL,10:39:56,10:34:48,Senior,552,Female,1291,MAVERICK ATHLETIC CLUB,South Africa
9327,27637,D - Group 1,ZA,Thomas MOKOENA,10:39:56,10:38:58,50-59,1466,Male,8036,NEDBANK RUNNING CLUB AVT,South Africa
9328,46428,J - Group 1,ZA,Mamsi SHEZI,10:39:57,10:34:45,Senior,553,Female,1292,EMPANGENI AC,South Africa
9329,7110,M - Group 2,ZA,Ndabezinhle DUBE,10:39:57,10:39:12,40-49,3677,Male,8037,MARITZBURG CITY AC,South Africa
9330,43213,M - Group 2,ZA,Lutfiyya MOOSA,10:39:58,10:38:22,Senior,554,Female,1293,TEAM VITALITY ATLETIC CLUB GN,South Africa
9331,42790,G - Group 1,ZA,Jeannie PRETORIUS,10:39:59,10:35:58,Senior,555,Female,1294,PRETORIA POLICE MARATHON CLUB,South Africa
9332,26024,M - Group 2,ZA,Mosekwa TLHAKO,10:40:00,10:38:07,40-49,3678,Male,8038,MOGALAKWENA AC,South Africa
9333,45741,E - Group 1,ZA,Thembha MASINGI,10:40:00,10:37:15,40-49,3679,Male,8039,GIYANI GALLOPERS,South Africa
9334,26930,Q - Group 2,ZA,Bazil Sifiso NTSELE,10:40:03,10:37:52,50-59,1467,Male,8040,SAPS KZN AC,South Africa
9335,35475,L - Group 2,US,Jason IPSON,10:40:05,10:39:04,50-59,1468,Male,8041,,United States of America (the)
9336,10632,H - Group 1,ZA,Sakhile DLOMO,10:40:06,10:35:41,Senior,2676,Male,8042,HOLLYWOOD AC KZNA,South Africa
9337,46288,H - Group 1,ZA,Kgothatso RAKGOTHO,10:40:07,10:35:13,Senior,2677,Male,8043,TEAM VITALITY ATLETIC CLUB GN,South Africa
9338,26589,F - Group 1,ZA,Michael COOK,10:40:08,10:37:42,50-59,1469,Male,8044,TEAM VITALITY CLUB CG,South Africa
9339,18109,H - Group 1,ZA,Wellington SIBANDE,10:40:08,10:36:09,40-49,3680,Male,8045,RANDBURG HARRIERS,South Africa
9340,31444,F - Group 1,ZA,Godfrey Trayton BALOYI,10:40:10,10:37:09,40-49,3681,Male,8046,NEDBANK RUNNING CLUB,South Africa
9341,38202,M - Group 2,ZA,Malerato Jemina MUSI,10:40:10,10:39:51,40-49,569,Female,1295,PAMOJA ATHLETICS CLUB,South Africa
9342,43574,L - Group 2,ZA,Brad GROBBLER,10:40:11,10:40:05,50-59,1470,Male,8047,HOLLYWOOD AC KZNA,South Africa
9343,53983,M - Group 2,ZA,Donald Ntirang MOLOKO,10:40:13,10:38:16,Senior,2678,Male,8048,KOMATSU AC,South Africa
9344,54840,M - Group 2,ZA,Jeffrey VAN ROOYEN,10:40:14,10:38:03,40-49,3682,Male,8049,PRETORIA MILITARY MARATHON CLUB,South Africa
9345,36768,H - Group 1,ZA,Nqobile MNGADI,10:40:14,10:34:50,Senior,2679,Male,8050,TEAM VITALITY ATLETIC CLUB GN,South Africa
9346,29355,J - Group 1,ZA,Daluxolo DYWILI,10:40:16,10:36:28,40-49,3683,Male,8051,PRETORIA MILITARY MARATHON CLUB,South Africa
9347,48763,G - Group 1,ZA,David DIALE,10:40:16,10:37:23,40-49,3684,Male,8052,SOUTH AFRICAN NATIONAL DEFENCE FORCE MPU,South Africa
9348,24501,Q - Group 2,ZA,Willie ELS,10:40:16,10:36:22,40-49,3685,Male,8053,DIE VUILHONDE AC,South Africa
9349,32435,F - Group 1,ZA,Collin ZENDA,10:40:18,10:37:24,40-49,3686,Male,8054,EDGEMEAD RUNNERS,South Africa
9350,29942,E - Group 1,ZA,Seforo SHONGOANE,10:40:18,10:37:45,40-49,3687,Male,8055,WINGATE ROAD RUNNERS,South Africa
9351,21188,G - Group 1,ZW,Peter CHIMBIRE,10:40:20,10:36:51,40-49,3688,Male,8056,DURBAN RUNNER ATHLETIC CLUB,Zimbabwe
9352,56600,L - Group 2,ZA,Masamuel MOYANA,10:40:21,10:40:17,60-69,22,Female,1296,SAPS FREE STATE,South Africa
9353,55024,F - Group 1,ZA,Simon MASKELL,10:40:21,10:37:06,Senior,2680,Male,8057,32GI RUNNING CLUB CG,South Africa
9354,38468,N - Group 2,ZA,Benji KOK,10:40:21,10:37:32,40-49,3689,Male,8058,FISH HOEK AC,South Africa
9355,36314,H - Group 1,ZM,Alfred CHIKWABA,10:40:21,10:36:24,50-59,1471,Male,8059,LUSAKA FITNESS SQUAD,Zambia
9356,19088,F - Group 1,ZA,Garry MANN,10:40:22,10:38:09,60-69,213,Male,8060,STELLA AC,South Africa
9357,48481,H - Group 1,IE,Peter WILLIAMS,10:40:23,10:34:57,50-59,1472,Male,8061,FR MURPHYS ATHLETIC CLUB,Ireland
9358,57547,G - Group 1,ZA,Johlené BARTSCH,10:40:24,10:35:04,50-59,149,Female,1297,STELLENBOSCH AC,South Africa
9359,53790,L - Group 2,ZA,Catherine MALEBANA,10:40:26,10:40:21,50-59,150,Female,1298,RAND WATER AC,South Africa
9360,58376,F - Group 1,XX,Ildar NIZAMEEV,10:40:28,10:37:40,Senior,2681,Male,8062,TEAM OF TATARSTAN,ANA
9361,45618,M - Group 2,ZA,Princess MABASO,10:40:29,10:38:48,40-49,570,Female,1299,HOLLYWOOD AC KZNA,South Africa
9362,25305,J - Group 1,ZA,Sanele GUMEDE,10:40:30,10:37:04,40-49,3690,Male,8063,WATERFALL AC,South Africa
9363,50885,H - Group 1,ZA,Mpho MMATLOA,10:40:30,10:36:31,50-59,151,Female,1300,TELKOM AC GN,South Africa
9364,44819,D - Group 1,ZA,Velaphi MASINGI,10:40:30,10:38:51,40-49,3691,Male,8064,WATERFALL AC,South Africa
9365,50460,G - Group 1,ZA,Sipho Themba MANZINI,10:40:30,10:36:06,50-59,1473,Male,8065,AMANZIMTOTI AC,South Africa
9366,33851,C - Group 1,ZA,Manthate MOGASHOA,10:40:31,10:40:09,40-49,3692,Male,8066,BOOYSENDAI MINE AC,South Africa
9367,6650,G - Group 1,ZA,Tshepiso BALOYI,10:40:31,10:35:27,40-49,3693,Male,8067,WATERFALL AC,South Africa
9368,16527,M - Group 2,ZA,Roldah ORRIE,10:40:32,10:40:28,60-69,23,Female,1301,BRIMSTONE ITHEKO SPORT AC,South Africa
9369,46655,E - Group 1,XX,Razil BATYRSHIN,10:40:32,10:37:44,Senior,2682,Male,8068,TATARSTAN TEAM,ANA
9370,45792,G - Group 1,ZA,Elliot HOLMES,10:40:34,10:36:38,50-59,1474,Male,8069,ITHEMBA ATHLETIC CLUB,South Africa
9371,41958,N - Group 2,ZA,Thabitha KUTAMA,10:40:34,10:37:38,40-49,571,Female,1302,MZANSI AC,South Africa
9372,59203,N - Group 2,ZA,Ayanda DAKANA,10:40:34,10:37:31,40-49,3694,Male,8070,TEAM VITALITY AC EP,South Africa
9373,21110,J - Group 1,ZA,Victor PEU,10:40:35,10:35:22,60-69,214,Male,8071,JEPPE QUONDAM AC,South Africa
9374,49537,L - Group 2,ZA,Joy Ann DEKKER,10:40:35,10:39:57,50-59,152,Female,1303,IRENE ATHLETICS CLUB,South Africa
9375,10570,P - Group 2,ZA,Jaco VAN DER MERWE,10:40:36,10:37:09,40-49,3695,Male,8072,TEAM VITALITY CLUB CG,South Africa
9376,19695,G - Group 1,ZA,Fulufhelo RATEMBA,10:40:37,10:37:09,40-49,3696,Male,8073,FARANANI ATLETICS CLUB,South Africa
9377,17700,N - Group 2,ZA,Thanda ZAMA,10:40:37,10:39:35,50-59,153,Female,1304,TEAM VITALITY CLUB KZN,South Africa
9378,22155,M - Group 2,CH,Reto SCHMID,10:40:38,10:34:58,60-69,215,Male,8074,,Switzerland
9379,48231,H - Group 1,ZM,Jonathan TURNER,10:40:39,10:36:52,50-59,1475,Male,8075,LUSAKA FITNESS SQUAD,Zambia
9380,36499,H - Group 1,ZA,Christo MEEDING,10:40:40,10:36:52,40-49,3697,Male,8076,FIT PRETORIA,South Africa
9381,37151,D - Group 1,ZA,Paul Ndiviwe MAHABE,10:40:40,10:39:17,Senior,2683,Male,8077,RUN ZONE AC,South Africa
9382,21264,L - Group 2,ZA,Molifi HLANGWANE,10:40:40,10:40:36,60-69,216,Male,8078,SHALOM MARATHON CLUB,South Africa
9383,29335,G - Group 1,ZA,James LITAU,10:40:43,10:38:07,40-49,3698,Male,8079,REMMOGO AC,South Africa
9384,22386,H - Group 1,ZA,Mpho PILUSA,10:40:43,10:35:37,40-49,3699,Male,8080,BENONI NORTHERNS AC,South Africa
9385,14927,N - Group 2,ZA,Jordan GREEN,10:40:44,10:38:22,40-49,3700,Male,8081,LEGOGOTE VILLAGERS,South Africa
9386,42332,K - Group 2,SZ,Bhekiwe SIBANDZE,10:40:44,10:37:31,50-59,1476,Male,8082,GOLDEN FOOT CLUB,Eswatini
9387,45449,M - Group 2,ZA,Ross BEDFORD,10:40:45,10:39:22,40-49,3701,Male,8083,HOLLYWOOD AC KZNA,South Africa
9388,45606,N - Group 2,ZA,Michael-Jon ELLIOTT,10:40:45,10:38:31,Senior,2684,Male,8084,HOLLYWOOD AC KZNA,South Africa
9389,20530,N - Group 2,ZA,Jan KUBAKA,10:40:45,10:37:38,40-49,3702,Male,8085,JUST RUNNING AC,South Africa
9390,38407,G - Group 1,ZA,Ruvaine PATIENCE,10:40:45,10:36:56,50-59,1477,Male,8086,ELDORADO PARK AC,South Africa
9391,23126,N - Group 2,ZA,Jafta MTHUNZI,10:40:49,10:40:21,40-49,3703,Male,8087,STANDARD BANK AC,South Africa
9392,36806,E - Group 1,ZA,Matome Jeffrey SEREPA,10:40:51,10:38:54,40-49,3704,Male,8088,RUNNERS OF HOPE,South Africa
9393,59530,E - Group 1,ZA,Moses MMASEEMA,10:40:51,10:38:59,Senior,2685,Male,8089,PRETORIA MILITARY MARATHON CLUB,South Africa
9394,47525,M - Group 2,ZA,Bulela SALIWA,10:40:53,10:39:40,40-49,3705,Male,8090,CHILLIE RUNNING CLUB KZN,South Africa
9395,10319,F - Group 1,ZA,Khayo MZOBE,10:40:53,10:37:55,40-49,3706,Male,8091,XCEL RUNNING CLUB,South Africa
9396,57358,F - Group 1,XX,Vikenty BRIGADNOV,10:40:55,10:38:06,40-49,3707,Male,8092,TEAM TATARSTAN,ANA
9397,46489,P - Group 2,ZA,Puleng RAMUSHU,10:40:55,10:37:15,Senior,556,Female,1305,SANDF WP,South Africa
9398,58667,M - Group 2,ZA,Marbely MANCILLA LORENZO,10:40:55,10:40:08,40-49,572,Female,1306,COLLEGIANS HARRIERS,South Africa
9399,44279,S - Group 2,ZA,Balethiwe NTSELE,10:40:56,10:36:49,Senior,557,Female,1307,TEAM VITALITY CLUB CG,South Africa
9400,57146,E - Group 1,ZA,Anthony JORDAAN,10:40:57,10:38:50,Senior,2686,Male,8093,SUNNINGHILL STRIDERS,South Africa
9401,44006,M - Group 2,ZA,Mlondolozi VAVA,10:40:58,10:40:22,40-49,3708,Male,8094,CHEETHAS AC TRANSKEI,South Africa
9402,32250,H - Group 1,ZA,Bongumusa MNCUBE,10:40:58,10:36:55,40-49,3709,Male,8095,XCEL RUNNING CLUB,South Africa
9403,44138,M - Group 2,ZA,Qaqamba Sikelelwa VAVA,10:40:59,10:40:23,Senior,558,Female,1308,CHEETHAS AC TRANSKEI,South Africa
9404,37148,N - Group 2,ZA,Rohuan DE JAGER,10:41:00,10:38:07,40-49,3710,Male,8096,FISH HOEK AC,South Africa
9405,13810,J - Group 1,ZA,Thobile MOSIA,10:41:00,10:36:32,Senior,2687,Male,8097,SIBANYE STILLWATER AC,South Africa
9406,34755,F - Group 1,AE,David WEIR,10:41:01,10:39:06,40-49,3711,Male,8098,TRAX DUBAI,United Arab Emirates (the)
